Facility Code,District,Facility Name,Facility Type,Net Storage (Litres): Actual,Net Storage (Litres): Required,Net Storage (Litres): Difference,Surplus
1006-0016,CENTRAL,Nambuma Parish,Community hospital - CHAM,55,2.85,52.15,4
1006-0017,CENTRAL,Ngoni Health Centre,Health centre - MoH,55,11.61,43.39,4
1006-0018,CENTRAL,Ukwe Health Centre,Health centre - MoH,24,11.82,12.18,4
1006-0019,CENTRAL,Nsanama Health Post,Health post - MoH,55,11.82,43.18,4
1006-0020,CENTRAL,Nsalu,Health centre - MoH,76,17.46,58.54,4
1006-0021,CENTRAL,Kabudula Community Hospital,Rural hospital - MoH,131,11.87,119.13,4
1006-0022,CENTRAL,Mbabvi Health Centre,Health centre - MoH,55,11.32,43.68,4
1006-0023,CENTRAL,Dzenza Health Centre,Health centre - CHAM,60,9.28,50.72,4
1006-0024,CENTRAL,Daeyang Luke Hospital,Hospital - CHAM,60,14.05,45.95,4
1006-0025,CENTRAL,Lilongwe City Clinic,Dispensary - Local Government,76,275.06,-199.06,0
1006-0026,CENTRAL,SOS Clinic,Health centre - CHAM,55,0.24,54.76,4
1006-0027,CENTRAL,Diamphwe Health Centre,Health centre - MoH,55,5.37,49.63,4
1006-0028,CENTRAL,Mtenthera Health Centre,Health centre - MoH,115,18.5,96.5,4
1006-0029,CENTRAL,Chitekwere Health Post,Health post - MoH,85,3.23,81.77,4
1006-0030,CENTRAL,Chimbalanga Health Centre,Health centre - MoH,0,8.58,-8.58,0
1006-0031,CENTRAL,Nkhoma CCAP Hospital,Hospital - CHAM,90,18.4,71.6,4
1006-0032,CENTRAL,Matapila Health Centre,Health centre - MoH,55,8.91,46.09,4
1006-0033,CENTRAL,Nanthenje Health Centre,Health centre - MoH,165,20.62,144.38,4
1006-0034,CENTRAL,Chanza Health Centre,Health centre - MoH,55,15.68,39.32,4
1006-0035,CENTRAL,Maluwa Health Centre,Health centre - MoH,24,7.74,16.26,4
1006-0036,CENTRAL,Kachale Health Centre,Health centre - MoH,55,6.98,48.02,4
1006-0037,CENTRAL,Bunda College Health Centre,Health centre - MoH,160,1.62,158.38,4
1006-0038,CENTRAL,Mkwinda Health Post,Health post - MoH,37.5,9.58,27.92,4
1006-0039,CENTRAL,mlale Rural Hospital,Hospital - CHAM,60,15.53,44.47,4
1006-0040,CENTRAL,Mitundu Rural Hospital,Rural hospital - MoH,220,39.47,180.53,4
1006-0041,CENTRAL,Kambanizinthe Health Post,Health post - MoH,0,4.57,-4.57,0
1006-0042,CENTRAL,Chiunjiza Health Centre,Health centre - MoH,55,12.38,42.62,4
1006-0043,CENTRAL,Dickson Health Centre,Health centre - MoH,0,14.04,-14.04,0
1006-0044,CENTRAL,Mikolongwe Health Centre,Health centre - CHAM,105,23.58,81.42,4
1006-0045,CENTRAL,Ndaula,Health centre - MoH,55,11.19,43.81,4
1006-0046,CENTRAL,Mbang'ombe 2,Health centre - MoH,55,6.98,48.02,4
1006-0047,CENTRAL,Ming'ongo,Health centre - MoH,0,8.21,-8.21,0
1006-0048,CENTRAL,Nthondo,Health centre - MoH,0,13.65,-13.65,0
1006-0049,CENTRAL,Gabriel Mission Hospital,Hospital - CHAM,79,5.41,73.59,4
1006-0050,CENTRAL,Chileka,Health centre - MoH,165,11.13,153.87,4
1006-0051,CENTRAL,Mbwatalika,Health centre - CHAM,55,5.33,49.67,4
1006-0052,CENTRAL,Chitedze,Health centre - MoH,115,17.97,97.03,4
1006-0053,CENTRAL,Lemwe,Health centre - MoH,24,6.82,17.18,4
1006-0054,CENTRAL,Chilobwe,Health centre - MoH,55,3.26,51.74,4
1006-0055,CENTRAL,Khongoni,Health centre - MoH,79,9.07,69.93,4
1006-0056,CENTRAL,Malembo,Health centre - MoH,24,8.79,15.21,4
1006-0057,CENTRAL,Chikowa,Health centre - MoH,55,20.13,34.87,4
1006-0058,CENTRAL,Chiwe,Health centre - CHAM,55,4.7,50.3,4
1006-0059,CENTRAL,Chimwala Clinic,Health centre - CHAM,60,10.75,49.25,4
1006-0060,CENTRAL,African Bible College,Hospital - CHAM,55,2.4,52.6,4
1006-0061,CENTRAL,Dr David Livingstone Memorial Private Clinic,Health centre - Private,55,1.12,53.88,4
1006-0062,CENTRAL,Kamuzu Central hospital,Central hospital - MoH,24,14.75,9.25,4
1006-0063,CENTRAL,National Vaccine Store,National vaccine store,17402.76667,12268.5,5134.266667,4
1006-0064,CENTRAL,Central Regional Vaccine Store,Regional vaccine store,1242.5,5790.69,-4548.19,0
1007-0000,CENTRAL,Kaigwazanga Health Centre,Health centre - MoH,79,8.27,70.73,4
1007-0001,CENTRAL,Mphanga Health Post,Health post - MoH,24,1.64,22.36,4
1007-0002,CENTRAL,Kazila Health Post,Health post - MoH,24,3.13,20.87,4
1007-0003,CENTRAL,Mikundi Health Centre,Health centre - MoH,55,18.13,36.87,4
1007-0004,CENTRAL,Gumba Dispensary,Dispensary - MoH,85,4.46,80.54,4
1007-0005,CENTRAL,Peter Health Post,Health post - MoH,24,0.5,23.5,4
1007-0006,CENTRAL,Kazyozyo Dispensary,Dispensary - MoH,109,5.35,103.65,4
1007-0007,CENTRAL,Mchinji District Vaccine Store,District vaccine store,75,162.46,-87.46,0
1007-0008,CENTRAL,Nkhwazi Health Centre,Health centre - MoH,17,15.82,1.18,2
1007-0009,CENTRAL,Mchinji District Hospital,District hospital - MoH,105,17.35,87.65,4
1007-0010,CENTRAL,Tsekwe Health Post,Health post - MoH,0,1.95,-1.95,0
1007-0011,CENTRAL,Tembwe Health Centre,Health centre - MoH,231.5,12.56,218.94,4
1007-0012,CENTRAL,Ludzi Community Hospital,Community hospital - CHAM,24,10,14,4
1007-0013,CENTRAL,Mkanda Health Centre,Health centre - MoH,55,14.93,40.07,4
1007-0014,CENTRAL,Chimwankango Dispensary,Dispensary - MoH,24,3.23,20.77,4
1007-0015,CENTRAL,Chipumi Health Centre,Health centre - MoH,55,8.25,46.75,4
1007-0016,CENTRAL,Kapiri Our Lady of Mount Carmel Community Hospital,Community hospital - CHAM,55,16.77,38.23,4
1007-0017,CENTRAL,Chioshya Health Centre,Health centre - MoH,55,9.25,45.75,4
1007-0018,CENTRAL,Kochilira Rural Hospital,Rural hospital - MoH,0,13.28,-13.28,0
1007-0019,CENTRAL,St Michael Guillem Community Hospital,Community hospital - CHAM,130,5.05,124.95,4
1007-0020,CENTRAL,Kapanga Health Centre,Health centre - MoH,17,13.85,3.15,3
1007-0021,CENTRAL,Waliranji Health Post,Health post - MoH,24,0.81,23.19,4
1008-0000,CENTRAL,Ntcheu Hospital,District hospital - MoH,55,11.79,43.21,4
1008-0001,CENTRAL,Chiole Health Centre,Health centre - CHAM,24,2.06,21.94,4
1008-0002,CENTRAL,Dzonzi Mvai Dispensary,Dispensary - MoH,55,1.56,53.44,4
1008-0003,CENTRAL,Nsipe Health Centre,Health centre - CHAM,105,7.06,97.94,4
1008-0004,CENTRAL,Dzunje Health Centre,Health centre - MoH,0,10.67,-10.67,0
1008-0005,CENTRAL,Chikande Health Centre,Health centre - MoH,24,5.49,18.51,4
1008-0006,CENTRAL,Bilira Health Centre,Health centre - MoH,85,15.38,69.62,4
1008-0007,CENTRAL,Bwanje Health Centre,Health centre - MoH,24,9.3,14.7,4
1008-0008,CENTRAL,Champiti Health Centre,Health centre - MoH,24,3.86,20.14,4
1008-0009,CENTRAL,Kapeni Health Centre,Health centre - MoH,55,4.07,50.93,4
1008-0010,CENTRAL,Phanga Health Centre,Health centre - MoH,24,1.18,22.82,4
1008-0011,CENTRAL,Manjawira Health Centre,Health centre - MoH,24,2.08,21.92,4
1008-0012,CENTRAL,Sister Tereza Community Hospital,Community hospital - CHAM,24,1.69,22.31,4
1008-0013,CENTRAL,Senzani Health Centre,Health centre - CHAM,55,4.49,50.51,4
1008-0014,CENTRAL,Machereza Health Post,Health post - MoH,0,2.26,-2.26,0
1008-0015,CENTRAL,Namisu Health Centre,Health centre - MoH,55,1.68,53.32,4
1008-0016,CENTRAL,Likudzi Health Post,Health post - MoH,18,0.49,17.51,4
1008-0017,CENTRAL,Nzama Health Centre,Health centre - CHAM,79,3.81,75.19,4
1008-0018,CENTRAL,Nsiyaludzu Health Centre,Health centre - MoH,60,9.88,50.12,4
1008-0019,CENTRAL,Katsekera Health Centre,Health centre - MoH,55,5.41,49.59,4
1008-0020,CENTRAL,Doviko Health Centre,Health centre - MoH,24,2.63,21.37,4
1008-0021,CENTRAL,Matanda Health Centre,Health centre - CHAM,24,2.51,21.49,4
1008-0022,CENTRAL,Kampanje Health Centre,Health centre - MoH,55,3.27,51.73,4
1008-0023,CENTRAL,Kandeu Health Centre,Health centre - MoH,55,6.84,48.16,4
1008-0024,CENTRAL,Gowa Health Centre,Health centre - CHAM,55,4.31,50.69,4
1008-0025,CENTRAL,Muluma Health Centre,Health centre - CHAM,24,1.85,22.15,4
1008-0026,CENTRAL,Mphepozinayi Dispensary,Dispensary - MoH,55,9.04,45.96,4
1008-0027,CENTRAL,Masasa Dispensary,Dispensary - MoH,55,2.24,52.76,4
1008-0028,CENTRAL,Mlanda Health Centre,Health centre - CHAM,55,2.73,52.27,4
1008-0029,CENTRAL,Shapevally Health Centre,Health centre - CHAM,55,8.36,46.64,4
1008-0030,CENTRAL,Luzulu Health Centre,Health centre - MoH,60,6.99,53.01,4
1008-0031,CENTRAL,Lake View Health Centre,Health centre - CHAM,17,2.53,14.47,4
1008-0032,CENTRAL,Mlangeni Health Centre,Health centre - MoH,24,2.45,21.55,4
1008-0033,CENTRAL,Ntcheu District vaccine Store,District vaccine store,105,165.59,-60.59,0
1008-0034,CENTRAL,Tsangano Health Centre,Health centre - CHAM,55,8.47,46.53,4
1008-0035,CENTRAL,Biriwiri Health Centre,Health centre - MoH,55,3.96,51.04,4
1008-0036,CENTRAL,Chigodi Health Centre,Health centre - CHAM,110,3.84,106.16,4
1008-0037,CENTRAL,Kasinje Health Centre,Health centre - MoH,55,17.51,37.49,4
1008-0038,CENTRAL,Ntonda Community Hospital,Community hospital - CHAM,55,3.64,51.36,4
1009-0002,NORTH,Chambo,Health centre - CHAM,18,5.12,12.88,4
1009-0003,NORTH,Wenya,Health centre - MoH,24,4.27,19.73,4
1009-0004,NORTH,Kavukuku,Health post - MoH,18.2,1.14,17.06,4
1009-0005,NORTH,Mahowe,Health post - MoH,18.2,0.78,17.42,4
1009-0006,NORTH,Kopakopa,Health post - MoH,55,1.04,53.96,4
1009-0007,NORTH,Nthalire,Health centre - MoH,55,10.46,44.54,4
1009-0008,NORTH,Therere,Health post - MoH,37.5,0.81,36.69,4
1009-0009,NORTH,Kameme,Health centre - MoH,18,7.53,10.47,4
1009-0010,NORTH,Ipula,Health post - MoH,55,0.36,54.64,4
1009-0011,NORTH,Ipenza,Health post - MoH,55,1.15,53.85,4
1009-0012,NORTH,Titi,Health post - MoH,55,1.16,53.84,4
1009-0013,NORTH,Nkhanile,Health post - MoH,55,0.61,54.39,4
1009-0014,NORTH,Kasisi,Health post - MoH,37.5,0.73,36.77,4
1009-0015,NORTH,Nkhangwa,Health post - MoH,55,0.78,54.22,4
1009-0016,NORTH,Bupighu,Health post - MoH,55,1.32,53.68,4
1009-0017,NORTH,Kapenda,Health centre - MoH,55,6.7,48.3,4
1009-0018,NORTH,Ifumbo,Health centre - MoH,0,2.49,-2.49,0
1009-0019,NORTH,Kaseye,Community hospital - CHAM,0,5.3,-5.3,0
1009-0020,NORTH,Sokola,Health post - MoH,0,0.56,-0.56,0
