Facility Code,District,Facility Name,Facility Type,Net Storage (Litres): Actual,Net Storage (Litres): Required,Net Storage (Litres): Difference,Surplus
1000-0025,CENTRAL,NALUNGA,Health centre - MoH,0,6.16,-6.16,0
1000-0026,CENTRAL,MWANGALA,Health centre - MoH,0,4.33,-4.33,0
1001-0000,CENTRAL,NKHAMENYA,Community hospital - CHAM,130,22.39,107.61,4
1001-0001,CENTRAL,KAMDIDI HEALTH POST,Health post - MoH,0,3.01,-3.01,0
1001-0002,CENTRAL,THUPA,Health post - MoH,24,4.55,19.45,4
1001-0003,CENTRAL,MPEPA,Dispensary - MoH,0,7.45,-7.45,0
1001-0004,CENTRAL,NEWA,Health centre - CHAM,18,2.96,15.04,4
1001-0005,CENTRAL,KALULUMA,Rural hospital - MoH,0,17.21,-17.21,0
1001-0006,CENTRAL,CHATOLOMA,Health post - MoH,0,5.69,-5.69,0
1001-0007,CENTRAL,SIMULEMBA,Health centre - MoH,104.5,15.51,88.99,4
1001-0008,CENTRAL,MANJONDO,Health post - MoH,24,2.26,21.74,4
1001-0009,CENTRAL,OFFESI,Dispensary - MoH,0,7.45,-7.45,0
1001-0010,CENTRAL,CHULU,Health centre - MoH,74.5,18.59,55.91,4
1001-0011,CENTRAL,MPHOMWA,Health post - MoH,24,2.52,21.48,4
1001-0012,CENTRAL,DWANGWA,Dispensary - MoH,24,11.42,12.58,4
1001-0013,CENTRAL,ESTATE 81,Health centre - Private,55,3.73,51.27,4
1001-0014,CENTRAL,GOGODE,Dispensary - MoH,55,8.57,46.43,4
1001-0015,CENTRAL,SANTHE,Health centre - MoH,60,17.13,42.87,4
1001-0016,CENTRAL,MKHOTA,Health centre - MoH,105,12.12,92.88,4
1001-0017,CENTRAL,KHOLA,Health centre - MoH,130,19.77,110.23,4
1001-0018,CENTRAL,CHIZINGA,Health centre - Private,75,2.49,72.51,4
1001-0019,CENTRAL,KAWAMBA,Health centre - MoH,55,12.83,42.17,4
1001-0020,CENTRAL,KAMBONI,Health centre - MoH,0,14.39,-14.39,0
1001-0021,CENTRAL,LINYANGWA,Health centre - MoH,17,12.69,4.31,4
1001-0022,CENTRAL,MZIZA,Health centre - CHAM,18,8.92,9.08,4
1001-0023,CENTRAL,BUA,Health centre - MoH,75,16.25,58.75,4
1001-0024,CENTRAL,MDUNGA,Health centre - MoH,24,9.41,14.59,4
1001-0025,CENTRAL,KAPELURA,Health centre - MoH,17,12.12,4.88,4
1001-0026,CENTRAL,KAPICHILA HEALTH POST,Health post - MoH,55,4.93,50.07,4
1001-0027,CENTRAL,KAPYANGA,Health post - MoH,17,8.1,8.9,4
1001-0028,CENTRAL,KASIYA,Health post - MoH,41.5,2.27,39.23,4
1001-0029,CENTRAL,LIVWEZI,Health post - MoH,24,8.03,15.97,4
1001-0030,CENTRAL,ESTATE 17,Health centre - Private,55,1.35,53.65,4
1001-0031,CENTRAL,ST ANDREWS,Community hospital - CHAM,0,0.5,-0.5,0
1001-0032,CENTRAL,MTUNTHAMA,Health centre - MoH,60,18.8,41.2,4
1001-0033,CENTRAL,CHAMWABVI,Health centre - MoH,0,14.46,-14.46,0
1001-0034,CENTRAL,MITULA HEALTH POST,Health post - MoH,24,1.3,22.7,4
1001-0035,CENTRAL,LOJWA,Dispensary - MoH,24,3.8,20.2,4
1001-0036,CENTRAL,KASUNGU DISTRICT HOSPITAL,District hospital - MoH,75,56.42,18.58,4
1001-0037,CENTRAL,WIMBE,Health centre - MoH,17,34.8,-17.8,0
1001-0038,CENTRAL,CHAMAMA,Health post - MoH,18,10.5,7.5,4
1001-0039,CENTRAL,KASUNGU DISTRICT VACCINE STORE,District vaccine store,105,351.96,-246.96,0
1002-0000,CENTRAL,Mtosa Heath Centre,Health centre - MoH,15.5,6.97,8.53,4
1002-0001,CENTRAL,Alinafe Community Hospita,Community hospital - CHAM,24,11.67,12.33,4
1002-0002,CENTRAL,Benga Health Centre,Health centre - MoH,39.5,8.92,30.58,4
1002-0003,CENTRAL,Mwansambo Health Centre,Health centre - MoH,165,13.43,151.57,4
1002-0004,CENTRAL,Malowa Health Centre,Health centre - MoH,17,8.16,8.84,4
1002-0005,CENTRAL,Kapiri Health Centre,Health centre - CHAM,24,16.65,7.35,4
1002-0006,CENTRAL,Chididi Health Centre,Health centre - CHAM,24,7.32,16.68,4
1002-0007,CENTRAL,Mpamantha Dispensary,Dispensary - MoH,24,8.73,15.27,4
1002-0008,CENTRAL,ST Annes Mission Hospital,Hospital - CHAM,55,3.3,51.7,4
1002-0009,CENTRAL,Bua Health Centre,Health centre - MoH,160,7.15,152.85,4
1002-0010,CENTRAL,Msenjere Health Centre,Health centre - MoH,55,7.84,47.16,4
1002-0011,CENTRAL,Katimbira Health centre,Health centre - MoH,24,5.52,18.48,4
1002-0012,CENTRAL,Liwaladzi Health Cente,Health centre - MoH,55,8.19,46.81,4
1002-0013,CENTRAL,Dwambadzi Rural Hospital,Rural hospital - MoH,60,8.02,51.98,4
1002-0014,CENTRAL,Kasitu Cham Health Centre,Health centre - CHAM,24,6.06,17.94,4
1002-0015,CENTRAL,Ngala Health Centre,Health centre - MoH,24,8.07,15.93,4
1002-0016,CENTRAL,Kaongozi Health Centre,Health centre - MoH,24,5.64,18.36,4
1002-0017,CENTRAL,Nkhunga Health Centre,Health centre - MoH,60,15.55,44.45,4
1002-0018,CENTRAL,Matiki Health Centre Dwangwa,Health centre - MoH,160,10.42,149.58,4
1002-0019,CENTRAL,Lupachi Health Post,Health post - MoH,24,4.33,19.67,4
1002-0020,CENTRAL,Nkhotakota District Hospital,District hospital - MoH,105,35.55,69.45,4
1002-0021,CENTRAL,Dwangwa Cane growers Clinic,Health centre - Private,24,3.99,20.01,4
1002-0022,CENTRAL,Nkhotakota District Hospital Vaccine Store,District vaccine store,379.5,166.51,212.99,4
1003-0000,CENTRAL,Ntchisi District Hospital,District hospital - MoH,60,24.54,35.46,4
1003-0001,CENTRAL,Ntchisi District Vaccine Store,District vaccine store,75,121.76,-46.76,0
1003-0002,CENTRAL,Sambakusi Health Centre,Health centre - MoH,55,1.85,53.15,4
1003-0003,CENTRAL,Malomo Health Centre,Health centre - MoH,55,22.57,32.43,4
1003-0004,CENTRAL,Chinguluwe Health Centre,Health centre - MoH,17,11.63,5.37,4
1003-0005,CENTRAL,Mzandu Health Centre,Health centre - MoH,55,9.03,45.97,4
1003-0006,CENTRAL,Chinthembwe Health Centre,Health centre - CHAM,24,6.56,17.44,4
1003-0007,CENTRAL,Kangolwa Health Centre,Health centre - MoH,85,7.96,77.04,4
1003-0008,CENTRAL,Nthondo Health Centre,Health centre - MoH,0,10.33,-10.33,0
1003-0009,CENTRAL,Mndinda Dispensary,Dispensary - MoH,36,3.88,32.12,4
1003-0010,CENTRAL,Khuwi Health Centre,Health centre - MoH,24,12.92,11.08,4
1003-0011,CENTRAL,Kamsonga Health Centre,Health centre - MoH,18,9.27,8.73,4
1003-0012,CENTRAL,Malambo Health Centre,Health centre - CHAM,18,4.41,13.59,4
1003-0013,CENTRAL,Mkuzi Health Centre,Health centre - MoH,17,9.03,7.97,4
1004-0000,CENTRAL,SALIMA HOSPITAL,District hospital - MoH,75,29.63,45.37,4
1004-0001,CENTRAL,SALIMA DISTRICT VACCINE STORE,District vaccine store,115,196.17,-81.17,0
1004-0002,CENTRAL,CHITALA HEALTH CENTRE,Health centre - CHAM,24,5.33,18.67,4
1004-0003,CENTRAL,KAPHATENGA HEALTH CENTRE,Health centre - CHAM,75,11.4,63.6,4
1004-0004,CENTRAL,CHINGULUWE HEALTH CENTRE,Health centre - MoH,0,7.02,-7.02,0
1004-0005,CENTRAL,KATAWA HEALTH CENTRE,Health centre - Private,79,4.25,74.75,4
1004-0006,CENTRAL,KHOMBEZA HEALTH CENTRE,Health centre - MoH,76,27.17,48.83,4
1004-0007,CENTRAL,MAKIYONI HEALTH CENTRE,Health centre - MoH,24,12.1,11.9,4
1004-0008,CENTRAL,THAVITE HEALTH CENTRE,Health centre - MoH,55,12.06,42.94,4
1004-0009,CENTRAL,SALIMA ADMARC CLINIC,Dispensary - MoH,55,13.06,41.94,4
1004-0010,CENTRAL,BLM CLINIC,Health centre - Private,110,0.99,109.01,4
1004-0011,CENTRAL,BAPTIST MEDICAL CLINIC,Health centre - CHAM,184,7.54,176.46,4
1004-0012,CENTRAL,LIFUWU HEALTH CENTRE,Health centre - MoH,55,7.65,47.35,4
1004-0013,CENTRAL,MAFCO CAMP HOSPITAL,Hospital - Private,55,2.97,52.03,4
1004-0014,CENTRAL,PARACHUTE CLINIC,Hospital - Private,55,1.06,53.94,4
1004-0015,CENTRAL,MAGANGA HEALTH CENTRE,Health centre - MoH,0,17.28,-17.28,0
1004-0016,CENTRAL,CHAGUNDA HEALTH CENTRE,Health centre - MoH,0,7.54,-7.54,0
1004-0017,CENTRAL,MCHOKA HEALTH CENTRE,Health centre - MoH,91,14.22,76.78,4
1004-0018,CENTRAL,CHIPOKA HEALTH CENTRE,Health centre - MoH,79,13.84,65.16,4
1004-0019,CENTRAL,NGODZI HEALTH CENTRE,Health centre - CHAM,0,4.76,-4.76,0
1004-0020,CENTRAL,LIFELINE HEALTH CENTRE,Health centre - Private,24,3.86,20.14,4
1004-0021,CENTRAL,MAKHO HEALTH POST,Health post - MoH,24,0.94,23.06,4
1005-0001,CENTRAL,MAONDE HEALTH CENTRE,Health centre - MoH,55,8.61,46.39,4
1005-0002,CENTRAL,MPHATI HEALTH CENTRE,Health centre - MoH,55,5.29,49.71,4
1005-0003,CENTRAL,CHIMOTO HEALTH CENTRE,Health centre - MoH,55,15.8,39.2,4
1005-0004,CENTRAL,MIKONDE HEALTH CENTRE,Health centre - CHAM,55,8.94,46.06,4
1005-0005,CENTRAL,MATUMBA HEALTH CENTRE,Health centre - CHAM,79,17.41,61.59,4
1005-0006,CENTRAL,CHITOWE,Health centre - MoH,110,15.58,94.42,4
1005-0007,CENTRAL,MBEZA HEALTH CENTRE,Health centre - MoH,42,6.47,35.53,4
1005-0008,CENTRAL,KANYEZI HEALTH CENTRE,Health centre - MoH,55,13.64,41.36,4
1005-0009,CENTRAL,KAFERE HEALTH CENTRE,Health centre - MoH,109,5.35,103.65,4
1005-0010,CENTRAL,LOBI HEALTH CENTRE,Health centre - MoH,131,9.75,121.25,4
1005-0011,CENTRAL,MTAKATAKA,Health centre - MoH,24,10.35,13.65,4
1005-0012,CENTRAL,NAKALAZI HEALTH CENTRE,Health centre - CHAM,17,9.18,7.82,4
1005-0013,CENTRAL,MUA HEALTH CENTRE,Community hospital - CHAM,105,10.24,94.76,4
1005-0014,CENTRAL,KAUNDU HEALTHCENTRE,Health centre - CHAM,0,10.38,-10.38,0
1005-0015,CENTRAL,MGANJA HEALTH CENTRE,Health centre - MoH,48,2.48,45.52,4
1005-0016,CENTRAL,GOLOMOTI HEALTH CENTRE,Health centre - MoH,79,13.45,65.55,4
1005-0017,CENTRAL,BEMBEKE HEALTH CENTRE,Health centre - CHAM,84,13.8,70.2,4
1005-0018,CENTRAL,KASINA HEALTH CENTRE,Health centre - CHAM,76,13.29,62.71,4
1005-0019,CENTRAL,TSOYO HEALTH CENTRE,Health centre - MoH,79,10.38,68.62,4
1005-0020,CENTRAL,KALULU HEALTH CENTRE,Health centre - MoH,0,5.38,-5.38,0
1005-0021,CENTRAL,MAYANI HEALTH CENTRE,Health centre - MoH,76,14.18,61.82,4
1005-0022,CENTRAL,KALULU,Health centre - MoH,85,5.38,79.62,4
1005-0023,CENTRAL,CHIPHWAYA HEALTH CENTRE,Health centre - CHAM,55,6.08,48.92,4
1005-0024,CENTRAL,MTINI HEALTH CENTRE,Health centre - MoH,17,8.92,8.08,4
1005-0025,CENTRAL,KAPHUKA HEALTH CENTRE,Health centre - MoH,55,17.59,37.41,4
1005-0026,CENTRAL,DZINDEVU HEALTH CENTRE,Health centre - MoH,0,14.43,-14.43,0
1005-0027,CENTRAL,CHIKUSE,Health centre - MoH,85,13.84,71.16,4
1005-0028,CENTRAL,KANYAMA HEALTH CENTRE,Health centre - CHAM,55,1.35,53.65,4
1005-0029,CENTRAL,CHINGONI,Health centre - MoH,24,10.83,13.17,4
1005-0030,CENTRAL,MLANGALI HEALTH CENTRE,Health centre - MoH,55,8.63,46.37,4
1005-0031,CENTRAL,MPHUNZI HEALTH,Health centre - CHAM,55,9.46,45.54,4
1005-0032,CENTRAL,MTENDERE HEALTH CENTRE,Community hospital - CHAM,55,31.39,23.61,4
1005-0033,CENTRAL,DEDZA HEALTH CENTRE,District vaccine store,289,333.69,-44.69,1
1005-0034,CENTRAL,DEDZA HEALTH CENTRE,District hospital - MoH,55,16.56,38.44,4
1006-0000,CENTRAL,Lilongwe DHO,District vaccine store,225,1046.62,-821.62,0
1006-0001,CENTRAL,Bwaila Rural Hospital,Rural hospital - MoH,131,65.82,65.18,4
1006-0002,CENTRAL,Kawale Health Centre,Health centre - MoH,76,130.18,-54.18,0
1006-0003,CENTRAL,Kamuzu Barracks,Health centre - MoH,55,2.76,52.24,4
1006-0004,CENTRAL,New State House,Health centre - MoH,110,4.74,105.26,4
1006-0005,CENTRAL,Kangoma Health Centre,Health centre - MoH,55,10.85,44.15,4
1006-0006,CENTRAL,Muloza Seventh Day Adventist,Health centre - CHAM,55,8.96,46.04,4
1006-0007,CENTRAL,Achikondi Women Community Drindly Services,Health centre - Private,0,13.19,-13.19,0
1006-0008,CENTRAL,Likuni Hospital,Hospital - CHAM,220,27.79,192.21,4
1006-0009,CENTRAL,Nkhalango Private Clinic,Health centre - Private,55,1.71,53.29,4
1006-0010,CENTRAL,Area 18 Health Centre,Health centre - MoH,186,95.4,90.6,4
1006-0011,CENTRAL,Area 30 Police Dispensary,Dispensary - MoH,55,1.85,53.15,4
1006-0012,CENTRAL,Area 25 Health Centre,Health centre - MoH,115,11.79,103.21,4
1006-0013,CENTRAL,Chiwamba Health Centre,Health centre - MoH,55,36.91,18.09,4
1006-0014,CENTRAL,Lumbadzi Health Centre,Health centre - MoH,130,40.68,89.32,4
1006-0015,CENTRAL,Mbangombe,Health centre - MoH,85,8.13,76.87,4
1006-0016,CENTRAL,Nambuma Parish,Community hospital - CHAM,55,4.28,50.72,4
1006-0017,CENTRAL,Ngoni Health Centre,Health centre - MoH,55,17.43,37.57,4
1006-0018,CENTRAL,Ukwe Health Centre,Health centre - MoH,24,17.75,6.25,4
1006-0019,CENTRAL,Nsanama Health Post,Health post - MoH,55,17.75,37.25,4
1006-0020,CENTRAL,Nsalu,Health centre - MoH,76,26.22,49.78,4
1006-0021,CENTRAL,Kabudula Community Hospital,Rural hospital - MoH,131,17.83,113.17,4
1006-0022,CENTRAL,Mbabvi Health Centre,Health centre - MoH,55,17,38,4
1006-0023,CENTRAL,Dzenza Health Centre,Health centre - CHAM,60,13.94,46.06,4
1006-0024,CENTRAL,Daeyang Luke Hospital,Hospital - CHAM,60,21.11,38.89,4
1006-0025,CENTRAL,Lilongwe City Clinic,Dispensary - Local Government,76,413.14,-337.14,0
1006-0026,CENTRAL,SOS Clinic,Health centre - CHAM,55,0.36,54.64,4
1006-0027,CENTRAL,Diamphwe Health Centre,Health centre - MoH,55,8.07,46.93,4
1006-0028,CENTRAL,Mtenthera Health Centre,Health centre - MoH,115,27.79,87.21,4
1006-0029,CENTRAL,Chitekwere Health Post,Health post - MoH,85,4.85,80.15,4
1006-0030,CENTRAL,Chimbalanga Health Centre,Health centre - MoH,0,12.89,-12.89,0
1006-0031,CENTRAL,Nkhoma CCAP Hospital,Hospital - CHAM,90,27.64,62.36,4
1006-0032,CENTRAL,Matapila Health Centre,Health centre - MoH,55,13.38,41.62,4
1006-0033,CENTRAL,Nanthenje Health Centre,Health centre - MoH,165,30.97,134.03,4
1006-0034,CENTRAL,Chanza Health Centre,Health centre - MoH,55,23.55,31.45,4
1006-0035,CENTRAL,Maluwa Health Centre,Health centre - MoH,24,11.63,12.37,4
1006-0036,CENTRAL,Kachale Health Centre,Health centre - MoH,55,10.48,44.52,4
1006-0037,CENTRAL,Bunda College Health Centre,Health centre - MoH,160,2.43,157.57,4
1006-0038,CENTRAL,Mkwinda Health Post,Health post - MoH,37.5,14.39,23.11,4
1006-0039,CENTRAL,mlale Rural Hospital,Hospital - CHAM,60,23.33,36.67,4
1006-0040,CENTRAL,Mitundu Rural Hospital,Rural hospital - MoH,220,59.28,160.72,4
1006-0041,CENTRAL,Kambanizinthe Health Post,Health post - MoH,0,6.86,-6.86,0
1006-0042,CENTRAL,Chiunjiza Health Centre,Health centre - MoH,55,18.6,36.4,4
1006-0043,CENTRAL,Dickson Health Centre,Health centre - MoH,0,21.09,-21.09,0
1006-0044,CENTRAL,Mikolongwe Health Centre,Health centre - CHAM,105,35.41,69.59,4
1006-0045,CENTRAL,Ndaula,Health centre - MoH,55,16.81,38.19,4
1006-0046,CENTRAL,Mbang'ombe 2,Health centre - MoH,55,10.48,44.52,4
1006-0047,CENTRAL,Ming'ongo,Health centre - MoH,0,12.34,-12.34,0
1006-0048,CENTRAL,Nthondo,Health centre - MoH,0,20.51,-20.51,0
1006-0049,CENTRAL,Gabriel Mission Hospital,Hospital - CHAM,79,8.13,70.87,4
1006-0050,CENTRAL,Chileka,Health centre - MoH,165,16.72,148.28,4
1006-0051,CENTRAL,Mbwatalika,Health centre - CHAM,55,8,47,4
1006-0052,CENTRAL,Chitedze,Health centre - MoH,115,26.99,88.01,4
1006-0053,CENTRAL,Lemwe,Health centre - MoH,24,10.24,13.76,4
1006-0054,CENTRAL,Chilobwe,Health centre - MoH,55,4.9,50.1,4
1006-0055,CENTRAL,Khongoni,Health centre - MoH,79,13.62,65.38,4
1006-0056,CENTRAL,Malembo,Health centre - MoH,24,13.2,10.8,4
1006-0057,CENTRAL,Chikowa,Health centre - MoH,55,30.23,24.77,4
1006-0058,CENTRAL,Chiwe,Health centre - CHAM,55,7.06,47.94,4
1006-0059,CENTRAL,Chimwala Clinic,Health centre - CHAM,60,16.14,43.86,4
1006-0060,CENTRAL,African Bible College,Hospital - CHAM,55,3.61,51.39,4
1006-0061,CENTRAL,Dr David Livingstone Memorial Private Clinic,Health centre - Private,55,1.68,53.32,4
1006-0062,CENTRAL,Kamuzu Central hospital,Central hospital - MoH,24,22.15,1.85,2
1006-0063,CENTRAL,National Vaccine Store,National vaccine store,17402.76667,19780.17,-2377.403333,1
1006-0064,CENTRAL,Central Regional Vaccine Store,Regional vaccine store,1242.5,8971.04,-7728.54,0
1007-0000,CENTRAL,Kaigwazanga Health Centre,Health centre - MoH,79,12.42,66.58,4
1007-0001,CENTRAL,Mphanga Health Post,Health post - MoH,24,2.46,21.54,4
1007-0002,CENTRAL,Kazila Health Post,Health post - MoH,24,4.7,19.3,4
1007-0003,CENTRAL,Mikundi Health Centre,Health centre - MoH,55,27.23,27.77,4
1007-0004,CENTRAL,Gumba Dispensary,Dispensary - MoH,85,6.7,78.3,4
1007-0005,CENTRAL,Peter Health Post,Health post - MoH,24,0.75,23.25,4
1007-0006,CENTRAL,Kazyozyo Dispensary,Dispensary - MoH,109,8.03,100.97,4
1007-0007,CENTRAL,Mchinji District Vaccine Store,District vaccine store,75,251.69,-176.69,0
1007-0008,CENTRAL,Nkhwazi Health Centre,Health centre - MoH,17,23.76,-6.76,1
1007-0009,CENTRAL,Mchinji District Hospital,District hospital - MoH,105,26.06,78.94,4
1007-0010,CENTRAL,Tsekwe Health Post,Health post - MoH,0,2.93,-2.93,0
1007-0011,CENTRAL,Tembwe Health Centre,Health centre - MoH,231.5,18.87,212.63,4
1007-0012,CENTRAL,Ludzi Community Hospital,Community hospital - CHAM,24,15.02,8.98,4
1007-0013,CENTRAL,Mkanda Health Centre,Health centre - MoH,55,22.43,32.57,4
1007-0014,CENTRAL,Chimwankango Dispensary,Dispensary - MoH,24,4.85,19.15,4
1007-0015,CENTRAL,Chipumi Health Centre,Health centre - MoH,55,12.39,42.61,4
1007-0016,CENTRAL,Kapiri Our Lady of Mount Carmel Community Hospital,Community hospital - CHAM,55,25.19,29.81,4
1007-0017,CENTRAL,Chioshya Health Centre,Health centre - MoH,55,13.89,41.11,4
1007-0018,CENTRAL,Kochilira Rural Hospital,Rural hospital - MoH,0,19.94,-19.94,0
1007-0019,CENTRAL,St Michael Guillem Community Hospital,Community hospital - CHAM,130,7.58,122.42,4
1007-0020,CENTRAL,Kapanga Health Centre,Health centre - MoH,17,20.8,-3.8,1
1007-0021,CENTRAL,Waliranji Health Post,Health post - MoH,24,1.22,22.78,4
1008-0000,CENTRAL,Ntcheu Hospital,District hospital - MoH,55,17.71,37.29,4
1008-0001,CENTRAL,Chiole Health Centre,Health centre - CHAM,24,3.09,20.91,4
1008-0002,CENTRAL,Dzonzi Mvai Dispensary,Dispensary - MoH,55,2.35,52.65,4
1008-0003,CENTRAL,Nsipe Health Centre,Health centre - CHAM,105,10.6,94.4,4
1008-0004,CENTRAL,Dzunje Health Centre,Health centre - MoH,0,16.03,-16.03,0
1008-0005,CENTRAL,Chikande Health Centre,Health centre - MoH,24,8.24,15.76,4
1008-0006,CENTRAL,Bilira Health Centre,Health centre - MoH,85,23.1,61.9,4
1008-0007,CENTRAL,Bwanje Health Centre,Health centre - MoH,24,13.98,10.02,4
1008-0008,CENTRAL,Champiti Health Centre,Health centre - MoH,24,5.8,18.2,4
1008-0009,CENTRAL,Kapeni Health Centre,Health centre - MoH,55,6.11,48.89,4
1008-0010,CENTRAL,Phanga Health Centre,Health centre - MoH,24,1.77,22.23,4
1008-0011,CENTRAL,Manjawira Health Centre,Health centre - MoH,24,3.12,20.88,4
1008-0012,CENTRAL,Sister Tereza Community Hospital,Community hospital - CHAM,24,2.54,21.46,4
1008-0013,CENTRAL,Senzani Health Centre,Health centre - CHAM,55,6.75,48.25,4
1008-0014,CENTRAL,Machereza Health Post,Health post - MoH,0,3.4,-3.4,0
1008-0015,CENTRAL,Namisu Health Centre,Health centre - MoH,55,2.53,52.47,4
1008-0016,CENTRAL,Likudzi Health Post,Health post - MoH,18,0.74,17.26,4
1008-0017,CENTRAL,Nzama Health Centre,Health centre - CHAM,79,5.72,73.28,4
1008-0018,CENTRAL,Nsiyaludzu Health Centre,Health centre - MoH,60,14.84,45.16,4
1008-0019,CENTRAL,Katsekera Health Centre,Health centre - MoH,55,8.13,46.87,4
1008-0020,CENTRAL,Doviko Health Centre,Health centre - MoH,24,3.95,20.05,4
1008-0021,CENTRAL,Matanda Health Centre,Health centre - CHAM,24,3.77,20.23,4
1008-0022,CENTRAL,Kampanje Health Centre,Health centre - MoH,55,4.91,50.09,4
1008-0023,CENTRAL,Kandeu Health Centre,Health centre - MoH,55,10.28,44.72,4
1008-0024,CENTRAL,Gowa Health Centre,Health centre - CHAM,55,6.47,48.53,4
1008-0025,CENTRAL,Muluma Health Centre,Health centre - CHAM,24,2.78,21.22,4
1008-0026,CENTRAL,Mphepozinayi Dispensary,Dispensary - MoH,55,13.58,41.42,4
1008-0027,CENTRAL,Masasa Dispensary,Dispensary - MoH,55,3.36,51.64,4
1008-0028,CENTRAL,Mlanda Health Centre,Health centre - CHAM,55,4.1,50.9,4
1008-0029,CENTRAL,Shapevally Health Centre,Health centre - CHAM,55,12.56,42.44,4
1008-0030,CENTRAL,Luzulu Health Centre,Health centre - MoH,60,10.5,49.5,4
1008-0031,CENTRAL,Lake View Health Centre,Health centre - CHAM,17,3.8,13.2,4
1008-0032,CENTRAL,Mlangeni Health Centre,Health centre - MoH,24,3.68,20.32,4
1008-0033,CENTRAL,Ntcheu District vaccine Store,District vaccine store,105,248.72,-143.72,0
1008-0034,CENTRAL,Tsangano Health Centre,Health centre - CHAM,55,12.72,42.28,4
1008-0035,CENTRAL,Biriwiri Health Centre,Health centre - MoH,55,5.95,49.05,4
1008-0036,CENTRAL,Chigodi Health Centre,Health centre - CHAM,110,5.76,104.24,4
1008-0037,CENTRAL,Kasinje Health Centre,Health centre - MoH,55,26.3,28.7,4
1008-0038,CENTRAL,Ntonda Community Hospital,Community hospital - CHAM,55,5.47,49.53,4
1009-0002,NORTH,Chambo,Health centre - CHAM,18,7.69,10.31,4
1009-0003,NORTH,Wenya,Health centre - MoH,24,6.42,17.58,4
1009-0004,NORTH,Kavukuku,Health post - MoH,18.2,1.71,16.49,4
1009-0005,NORTH,Mahowe,Health post - MoH,18.2,1.18,17.02,4
1009-0006,NORTH,Kopakopa,Health post - MoH,55,1.56,53.44,4
1009-0007,NORTH,Nthalire,Health centre - MoH,55,15.71,39.29,4
1009-0008,NORTH,Therere,Health post - MoH,37.5,1.22,36.28,4
1009-0009,NORTH,Kameme,Health centre - MoH,18,11.31,6.69,4
1009-0010,NORTH,Ipula,Health post - MoH,55,0.54,54.46,4
1009-0011,NORTH,Ipenza,Health post - MoH,55,1.73,53.27,4
1009-0012,NORTH,Titi,Health post - MoH,55,1.74,53.26,4
1009-0013,NORTH,Nkhanile,Health post - MoH,55,0.92,54.08,4
1009-0014,NORTH,Kasisi,Health post - MoH,37.5,1.09,36.41,4
1009-0015,NORTH,Nkhangwa,Health post - MoH,55,1.18,53.82,4
1009-0016,NORTH,Bupighu,Health post - MoH,55,1.98,53.02,4
1009-0017,NORTH,Kapenda,Health centre - MoH,55,10.06,44.94,4
1009-0018,NORTH,Ifumbo,Health centre - MoH,0,3.74,-3.74,0
1009-0019,NORTH,Kaseye,Community hospital - CHAM,0,7.96,-7.96,0
1009-0020,NORTH,Sokola,Health post - MoH,0,0.84,-0.84,0
